GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-machine-learning,com.jml.optimizers,StochasticGradientDescent,123,9,6,0,25,4,8,1,5,1
java-machine-learning,com.jml.optimizers,StepLearningRate,15,31,1,3,7,8,3,3,2,2
java-machine-learning,com.jml.optimizers,Scheduler,0,3,0,0,0,1,0,1,0,1
java-machine-learning,com.jml.optimizers,Momentum,7,0,0,0,3,0,3,0,3,0
java-machine-learning,com.jml.optimizers,Optimizer,4,17,0,0,2,5,1,1,1,1
java-machine-learning,com.jml.linear_models,MultipleLinearRegression,196,235,4,14,8,44,6,13,2,8
java-machine-learning,com.jml.linear_models,PolynomialRegression,80,336,3,21,10,61,5,18,2,9
java-machine-learning,com.jml.linear_models,LinearRegression,1,78,2,4,0,16,2,6,0,5
java-machine-learning,com.jml.linear_models,Block,0,93,0,2,0,21,0,5,0,4
java-machine-learning,com.jml.linear_models,Perceptron,17,0,0,0,8,0,8,0,8,0
java-machine-learning,com.jml.linear_models,LinearModelTags,0,21,0,0,0,2,0,1,0,1
java-machine-learning,com.jml.linear_models,LinearRegressionSGD,227,0,8,0,53,0,13,0,9,0
java-machine-learning,com.jml.linear_models,MultipleLinearRegressionSGD,191,0,6,0,43,0,10,0,7,0
java-machine-learning,com.jml.linear_models,PolynomialRegressionSGD,183,0,6,0,42,0,10,0,7,0
java-machine-learning,com.jml.neural_network.layers,Dense,8,0,0,0,2,0,1,0,1,0
java-machine-learning,com.jml.neural_network.layers,Layer,21,0,0,0,8,0,1,0,1,0
java-machine-learning,com.jml.neural_network,NeuralNetwork,18,0,0,0,9,0,9,0,9,0
java-machine-learning,com.jml.core,LinRegFromData,5,75,2,4,1,20,2,3,0,2
java-machine-learning,com.jml.core,Gradient,73,0,2,0,12,0,4,0,3,0
java-machine-learning,com.jml.core,Stats,12,241,1,21,3,48,2,21,1,11
java-machine-learning,com.jml.core,ModelFromData,30,171,12,24,5,35,11,11,1,3
java-machine-learning,com.jml.core,ModelBucket,0,146,6,18,0,38,6,13,0,7
java-machine-learning,com.jml.core,ModelTypes,0,63,0,0,0,4,0,1,0,1
java-machine-learning,com.jml.core,Model,5,135,2,16,1,28,2,10,0,3
java-machine-learning,com.jml.core,MultRegFromData,5,75,2,4,1,20,2,3,0,2
java-machine-learning,com.jml.core,PolyRegFromData,5,85,2,6,1,22,2,4,0,2
java-machine-learning,com.jml.neural_network.activations,Activation,3,0,0,0,1,0,1,0,1,0
java-machine-learning,com.jml.neural_network.activations,Sigmoid,25,0,2,0,5,0,3,0,2,0
java-machine-learning,com.jml.preprocessing,Normalize,7,187,0,14,2,34,1,13,1,6
java-machine-learning,com.jml.losses,LossFunctions,25,0,0,0,4,0,3,0,3,0
java-machine-learning,com.jml.losses,LossGradients,24,0,0,0,5,0,3,0,3,0
java-machine-learning,com.jml.util,FileManager,12,44,0,0,4,11,1,3,1,3
java-machine-learning,com.jml.util,ArrayUtils,3,133,0,14,1,23,1,11,1,4
java-machine-learning,com.jml.util,ValueError,23,0,4,0,7,0,5,0,3,0
java-machine-learning,com.jml.util,ArrayErrors,7,24,0,4,2,6,1,4,1,2
java-machine-learning,com.jml.clasifiers,KNearestNeighbors,22,0,0,0,10,0,9,0,9,0
java-machine-learning,com.jml.clasifiers,LogisticRegression,3,0,0,0,1,0,1,0,1,0
